recipe_name,recipe_link,main_ingredient,meal_role,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,vitamin_a_iu,vitamin_c_mg,iron_mg,price_try,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,ingredient_16,ingredient_17,ingredient_18,ingredient_19,ingredient_20,ingredient_21,ingredient_22,ingredient_23,ingredient_24,ingredient_25,ingredient_26,ingredient_27,ingredient_28,ingredient_29,ingredient_30
Fırın Makarna,https://www.nefisyemektarifleri.com/video/firin-makarna-bol-soslu-videolu-tarif/,Tahıl,Yan Yemek,252,35.5,8.1,8.5,1.23,19.45,213.3,191.5,183.03,186,0.5,0.06,6.16,1 paket fırın makarna,1 tatlı kaşığı tuz,Su,4 su bardağı süt (800 ml),2 yemek kaşığı un,2 yemek kaşığı tereyağı,Yarım çay kaşığı tuz,1 kase rendelenmiş kaşar peyniri,6-7 parça Tereyağı veya margarin,,,,,,,,,,,,,,,,,,,,,
Kremalı Domatesli Makarna,https://www.nefisyemektarifleri.com/kendi-sosunda-pisen-kremali-domatesli-makarna/,Tahıl,Yan Yemek,496,72,11,21,4.25,8.9,324.43,557.05,157.91,1022.78,15.34,0.96,36.24,250 gram makarna,2 domates,Yarım yemek kaşığı domates salçası,1 yemek kaşığı tatlı biber salçası,1 yemek kaşığı zeytinyağı,100 ml sıvı krema,1 tatlı kaşığı tereyağı,1 tatlı kaşığı tuz,1 çay kaşığı karabiber ve pul biber,1 diş sarımsak,2. 5 su bardağı su (200 ml bardak ölçüsü ile),İsteğe göre kurumuş maydanoz,,,,,,,,,,,,,,,,,,
Tavuklu Makarna Salatası,https://www.nefisyemektarifleri.com/tavuklu-makarna-salatasi/,Tavuk,Yan Yemek,224,37.4,9.6,4.1,1.2,2.67,55.7,110.6,26.7,38.3,0.1,0.07,32.34,1 paket boncuk makarna,Yarım kg kemiksiz tavuk göğüsü,1.5 su bardağı mısır,1.5 su bardağı garnitür,10-15 adet kornişon turşu,6-7 yemek kaşığı mayonez,6-7 yemek kaşığı yoğurt,Tuz,Su,Sıvı yağ,Pul biber veya dereotu konulabilir.,,,,,,,,,,,,,,,,,,,
Beşamel Soslu Fırın Makarna,https://www.nefisyemektarifleri.com/video/besamel-soslu-firin-makarna-tarifi/,Tahıl,Yan Yemek,426,54.6,18.01,14.4,1.9,44.1,411.4,246.1,425.8,481.5,0.62,0.1,3.8,500g Piyale İnce Uzun Makarna,Tuz,500 ml Süt,3 yemek kaşığı un,2 yemek kaşığı Tereyağı,Tuz,Karabiber,2 su bardağı kaşar peyniri rendesi,1 su bardağı Kaşar Peyniri rendesi,,,,,,,,,,,,,,,,,,,,,
Kabak Spagetti,https://www.nefisyemektarifleri.com/kabak-spagetti/,Sebze,Yan Yemek,463,14.7,6.9,44.1,5.34,0,322.17,982.87,256.16,1206.36,62.3,6.44,113.62,4 adet orta boy kabak,4 yemek kaşığı zeytinyağı,Tuz,1 adet büyük boy domates,1 yemek kaşığı domates salçası,3 yemek kaşığı sıcak su,Tuz,2 diş sarımsak,2 yemek kaşığı zeytinyağı,Karabiber,Pul biber,Kaşar peyniri (isteğe bağlı),,,,,,,,,,,,,,,,,,
Mantarlı Biberli Makarna,https://www.nefisyemektarifleri.com/kendini-kremali-sanan-mantarli-biberli-makarna/,Tahıl,Yan Yemek,555,88.1,15.1,17.04,4.64,24.9,356.32,574.7,285.73,1702.3,20,1.34,33.62,500 gr makarna (istediğiniz bir çeşit),10 adet mantar,2 adet yeşil sivri biber,1 adet kapya,1 adet kuru soğan,1 adet havuç,2 diş sarımsak,1 yemek kaşığı domates salçası,4 yemek kaşığı zeytinyağ,1 yemek kaşığı tereyağ̆,Tuz. karabiber. kekik hepsinden birer çay kaşığı koydum,2 su bardağı süt,1 yemek kaşığı nişasta,,,,,,,,,,,,,,,,,
Fırında Peynirli Makarna,https://www.nefisyemektarifleri.com/video/firinda-peynirli-makarna/,Tahıl,Yan Yemek,602,54.3,23.2,33.3,1.8,97.7,587.6,346.2,530.4,538,5.07,0.41,8.3,Yarım paket fırın makarna (miktarı fırın kabınıza göre ayarlayabilirsiniz),300 g yoğurt,1 paket (200 ml) sıvı krema,1 kase beyaz peynir,1 tatlı kaşığı tuz,1 yumurta,1 demet kıyılmış maydanoz,Sıvı yağ,Rendelenmiş kaşar peyniri,,,,,,,,,,,,,,,,,,,,,
Kremalı Mantarlı Tavuklu Makarna,https://www.nefisyemektarifleri.com/kremali-mantarli-tavuklu-makarna-5749286/,Tavuk,Yan Yemek,777,58,53,39,3.89,2.26,593.7,1275.07,182.34,119.14,5.91,1.5,138.44,1 kase mantar (konserve veya taze),500 gr tavuk göğüs eti,1 adet kuru soğan,2-3 yemek kaşığı zeytinyağı,200 gr makarna (ben fettucine kullandım. farklı çeşit de olur),200 ml sıvı krema,1 yemek kaşığı toz parmesan peyniri (tercihe bağlı),Yarım çay kaşığı karabiber,1 tatlı kaşığı kekik,1 çay kaşığı tuz,Sıcak su,1 çay kaşığı tuz,,,,,,,,,,,,,,,,,,
Kıymalı Makarna,https://www.nefisyemektarifleri.com/kiymali-makarna/,Kırmızı Et,Yan Yemek,351,42.6,13.6,14.1,2.3,23.2,282.4,428.4,27.24,243.2,6.9,1.3,58,Yarım paket makarna (ben genelde mini burgu. mini boru gibi küçük olanları severim),200 g kıyma,1 su bardağı domates rendesi,1 yemek kaşığı domates salçası,1 tatlı kaşığı biber salçası,3 diş sarımsak,3 yemek kaşığı sıvı yağ,Pul biber,Karabiber,Tuz,,,,,,,,,,,,,,,,,,,,
Lazanya,https://www.nefisyemektarifleri.com/lazanya-tarifi/,Kırmızı Et,Tek Öğün,838,75.2,40,41.7,2.57,97,695,1167.75,393.7,1075,18.59,3.25,126.92,12 yaprak lazanya,400 gr kıyma,3 yemek kaşığı sıvı yağ,2 adet kuru soğan,2 adet domates,2 yemek kaşığı domates salçası,2 diş sarımsak,1 tatlı kaşığı tuz,1.5 su bardağı sıcak su (300 ml),2 yemek kaşığı tereyağı,3 su bardağı süt (600 ml),Yarım su bardağı un,1 çay kaşığı tuz,Yarım çay kaşığı karabiber,1 su bardağı kaşar peyniri rendesi,,,,,,,,,,,,,,,
Kremalı Domates Soslu Tavuklu Makarna,https://www.nefisyemektarifleri.com/kremali-domates-soslu-tavuklu-makarna-tarifi-videolu/,Tavuk,Tek Öğün,524,44,31,26,2.54,20,392.01,528.7,166.2,767.7,11.7,0.9,52.38,Yarım paket makarna (250 gram),Yarım çay bardağından biraz eksik sıvı yağ,1 adet soğan,400 gram tavuk göğsü,1 diş sarımsak,1 tatlı kaşığı tuz,1 tatlı kaşığı kırmızı toz biber,1 çay kaşığı karabiber,2 adet domates,3 su bardağı sıcak su (600 ml),1 paket krema (200 ml) (yerine 1 su bardağı süt de kullanabilirsiniz),100 gram kadar rendelenmiş kaşar,3 dal maydanoz,,,,,,,,,,,,,,,,,
Beşamel Soslu Fırında Makarna,https://www.nefisyemektarifleri.com/video/besamel-soslu-firinda-makarna/,Tahıl,Yan Yemek,357,35.9,24.6,11.9,2.2,27.93,391.04,643.54,167.5,334.89,15.58,0.7,70.42,Yarım paket makarna,2 adet patates,600 gr tavuk göğsü,3 yemek kaşığı sıvı yağ,1 adet soğan,1 adet yeşil biber,1 adet kırımızı biber,1 yemek kaşığı salça,Tuz. karabiber. pul biber,2 yemek kaşığı tereyağı,2 yemek kaşığı un,2.5 su bardağı süt,Tuz. karabiber,Rendelenmiş kaşar peyniri,,,,,,,,,,,,,,,,
Tavuklu Makarna,https://www.nefisyemektarifleri.com/video/tavuklu-makarna-tarifi-videosu/,Tavuk,Tek Öğün,601,71.6,46.7,14.08,4.42,33.3,674.6,837.9,275,1080.8,33.41,1.71,180.28,Yarım paket makarna,350 g tavuk göğsü,4-5 diş sarımsak,6-7 adet kuru domates,1 adet kırmızı biber,1 kase rendelenmiş kaşar peyniri,sıvı yağ,tuz,kekik,karabiber,pul biber,kırmızı toz biber,1 tatlı kaşığı biber salçası,1 yemek kaşığı domates salçası,1-2 yemek kaşığı hazır makarna sosu (isteğe bağlı; evde hazırlanan kışlık domates sosları da olur),,,,,,,,,,,,,,,
Mac and Cheese,https://www.nefisyemektarifleri.com/video/kolay-mac-and-cheese-tarifi-videolu/,Tahıl,Tek Öğün,669,75.5,29.7,29.9,2.3,55.5,850.7,619.7,777.4,682.06,2.3,0.23,17.15,700 ml süt,Yarım paket (250 gr) bukle makarna,100 gr cheddar peyniri,100 gr mozarella peyniri (kaşar peynir de kullanabilirsiniz),1 yemek kaşığı tereyağı,Tuz,,,,,,,,,,,,,,,,,,,,,,,,
Kremalı Tavuklu Mantarlı Makarna,https://www.nefisyemektarifleri.com/kremali-tavuklu-mantarli-makarna-8910964/,Tavuk,Tek Öğün,406,43,14,23,0.82,0,263.4,1384,11.6,41.6,3.07,0.56,59.22,4 yemek kaşığı zeytinyağı,1 adet soğan,1 diş sarımsak (isteğe göre),1 parça tavuk göğsü,15 adet mantar,200ml sıvı krema,1 tatlı kaşığı kekik,1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,Yarım paket penne makarna,3 yemek kaşığı zeytinyağı,1 tatlı kaşığı tuz,Kaynar su,,,,,,,,,,,,,,,,,
Makarna Salatası,https://www.nefisyemektarifleri.com/makarna-salatasi-nasil-yapilir/,Tahıl,Yan Yemek,309,42,7.8,12.1,1.5,4.9,198.2,143.2,62.2,140,4.8,0.34,20.49,Yarım paket küçük (yüksük. boncuk) makarna,1 su bardağı mayonez,1.5 su bardağı sarımsaklı yoğurt,10 adet kornişon turşu,5 adet haşlanmış sosis,1 büyük kavanoz garnitür (havuç. bezelye. patates),1 küçük konserve mısır,1 çorba kaşığı sıvı yağ,Yarım demet maydanoz,Yarım demet dereotu,1 avuç yeşil zeytin (çekirdekleri çıkartılmış küçük küçük doğranmış),Tuz,Karabiber,,,,,,,,,,,,,,,,,
Pesto Soslu Makarna,https://www.nefisyemektarifleri.com/pesto-soslu-makarna-tavuk-dunyasi-tarifi/,Tahıl,Tek Öğün,664,96,19,27,3.8,1.45,425.78,354.14,232.23,348.48,1.05,0.28,15.4,Yarım paket penne makarna,3 yemek kaşığı pesto sos,3 yemek kaşığı krema,2 yemek kaşığı zeytinyağı,Tuz ve haşlamak için su,,,,,,,,,,,,,,,,,,,,,,,,,
Beşamel Soslu Fırın Makarna,https://www.nefisyemektarifleri.com/besamel-soslu-firin-makarna-tarifi/,Tahıl,Yan Yemek,251,26.6,10,11.1,0.93,21.25,314.81,100.91,249.26,229.78,0.25,0.04,3.8,Yarım paket fırın makarna,Kaşar rendesi,Peynir,Yarım çay bardağı sıvı yağ,1 yemek kaşığı un,2 su bardağı süt,1 tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,,,
Tavuklu Körili Kremalı Makarna,https://www.nefisyemektarifleri.com/tavuklu-korili-kremali-makarna/,Tavuk,Tek Öğün,758,65.9,34.9,40.3,2.83,0,483.9,719.49,148.11,138.06,2.78,0.44,68.06,300 gr tavuk göğsü,250 gr penne makarna(yarım paket),1 paket krema (200 ml),1 küçük soğan,1 diş sarımsak,2 tatlı kaşığı köri,3 yemek kaşığı sıvı yağ,1 tatlı kaşığı tuz (makarna suyuna),1 tatlı kaşığı tuz (kremasına),1 yemek kaşığı sıvı yağ (makarna suyuna),Yarım çay bardağı makarna suyu,,,,,,,,,,,,,,,,,,,
Kremalı Salçalı Makarna,https://www.nefisyemektarifleri.com/sizi-simartacak-kremali-salcali-makarna/,Tahıl,Tek Öğün,656,74,12,38,3.8,0,350.34,526,44.2,149.34,9.67,1.5,13.61,Yarım paket makarna,1 tatlı kaşığı tuz(makarnayı haşlamak için),1 adet soğan,2 diş sarımsak,3 yemek kaşığı zeytinyağı,1 yemek kaşığı domates salçası,1 tatlı kaşığı biber salçası,Yarım tatlı kaşığı tuz,4 yemek kaşığı domates sosu,Yarım çay kaşığı karabiber,1 tatlı kaşığı kırmızı toz biber,1 paket sıvı krema (200 ml),,,,,,,,,,,,,,,,,,
Kremalı Makarna,https://www.nefisyemektarifleri.com/nefis-kremali-makarna/,Tahıl,Yan Yemek,347,37.2,8.4,18.8,2.3,6.5,139,269.8,86.6,410,49.8,2.76,36.69,Yarım paket penne makarna (ya da istediğiniz herhangi biri),3 adet kapya biber,2 diş sarımsak,1 yemek kaşığı tereyağı,1 yemek kaşığı sıvı yağ,1 kutu krema,1 çay bardağının yarısı kadar süt,1 yemek kaşığı hardal,1 tatlı kaşığı. kekik ve fesleğen,1 çay kaşığı tuz. karabiber. köri ve zerdeçal,Çok az muskat,Birer tutam dereotu ve maydanoz,,,,,,,,,,,,,,,,,,
Kremalı Mantarlı Kalem Makarna,https://www.nefisyemektarifleri.com/kremali-mantarli-kalem-makarna/,Tahıl,Tek Öğün,339,27,6,24,2.9,5.34,290.17,118.6,16.25,18.62,2.52,0.23,5.25,1 paket kepekli kalem makarna (350 g),6-8 adet mantar,1 kutu (200 ml ) krema,1 adet soğan,3 diş sarımsak,1 yemek kaşığı taze fesleğen,1 çay kaşığı karabiber,3 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,tuz,,,,,,,,,,,,,,,,,,,,
Kremalı Mantarlı Makarna,https://www.nefisyemektarifleri.com/video/kremali-mantarli-makarna/,Tahıl,Tek Öğün,652,72,15,38,4.34,0,279,732.34,32.82,42.11,5.8,0.94,42.98,Yarım paket penne makarna (250 gr),Sıcak su,1 çay kaşığı tuz (haşlama suyuna),3 yemek kaşığı zeytinyağı,1 adet kuru soğan,400 gr mantar,200 ml krema,Yarım çay kaşığı karabiber,1 çay kaşığı tuz,1 tatlı kaşığı kekik,,,,,,,,,,,,,,,,,,,,
Soslu Erişte,https://www.nefisyemektarifleri.com/soslu-leziz-eriste/,Tahıl,Yan Yemek,565,84.1,17.5,17.9,8.09,0,898.3,873.7,111.2,2020.9,88.8,5.2,41.56,İki avuç erişte makarna,Orta boy bir domates,Bir yeşil biber,Bir diş sarımsak,Yarım yemek kaşığı salça,Bir tutam kıyılmış maydanoz,Kekik,Kara biber,Tuz,Sıvı yağ,Sıcak su,,,,,,,,,,,,,,,,,,,
Pesto Soslu Penne Makarna,https://www.nefisyemektarifleri.com/pesto-soslu-penne-makarna-tarifi/,Tahıl,Yan Yemek,368,39,8,22,0.08,0.58,9.1,12.4,12.8,129.2,0.42,0.09,2.55,Yarım paket penne (kalem) makarna,1 paket süt kreması,2-3 yemek kaşığı hazır pesto sosu,2 yemek kaşığı zeytinyağı veya sıvı yağ,tuz,,,,,,,,,,,,,,,,,,,,,,,,,
Gigi Hadid Makarnası,https://www.nefisyemektarifleri.com/video/gigi-hadid-makarnasi-tarifi/,Tahıl,Tek Öğün,719,72,14,43,3.48,4.53,411.23,397.46,234.76,164.78,6.43,0.76,27.61,Yarım paket penne makarna,Yarım çay bardağı zeytinyağı (60 ml),1 adet kuru soğan,2 diş sarımsak,1 yemek kaşığı salça,1 paket krema,Yarım çay kaşığı karabiber,1 çay kaşığı tuz (suyuna),1 çay kaşığı tuz (içine),2 yemek kaşığı parmesan peyniri,Sıcak su,,,,,,,,,,,,,,,,,,,
Kıymalı Lazanya,https://www.nefisyemektarifleri.com/kiymali-lazanya-2209573/,Kırmızı Et,Tek Öğün,238,19.2,10.7,13,0.61,29.68,2.06,275.68,138.5,440.12,4.5,0.66,36.03,12 yaprak lazanya(sayı pişirme kabınızın büyüklüğüne göre değişir),300 gr kıyma,1 büyük soğan,2 diş sarımsak,2 yemek kaşığı domates salçası,3 adet domates,4 yemek kaşığı sıvı yağ,1.5 su bardağı su,tuz,pulbiber,2 yemek kaşığı tepeleme un,3 su bardağı süt,50 gr tereyağ,1 çay kaşığı tuz,1 fiske karabiber,1 su bardağı rendelenmiş kaşar peyniri,,,,,,,,,,,,,,
Peynirli Maydanozlu Fırın Makarna,https://www.nefisyemektarifleri.com/peynirli-maydanozlu-pratik-firin-makarna/,Tahıl,Yan Yemek,309,24.4,15.8,16.03,0.84,85.04,457.25,178.52,368.18,477.8,2.5,0.3,21.01,2 tatlı kaşığı sıvı yağ (makarna haşlama suyuna),1 çay kaşığı tuz (makarna haşlama suyuna),Yarım paket kelebek makarna,2 su bardağı süt,2 adet yumurta,2 avuç doğranmış maydanoz,2 çay kaşığı tuz,2 yemek kaşığı tereyağı (1 yemek kaşığı üzeri için),200 gram lor peyniri veya az yağlı beyaz peynir,Yarım tatlı kaşığı kekik,200 gram kaşar peyniri rendesi,,,,,,,,,,,,,,,,,,,
Sebzeli Tavuklu Spagetti,https://www.nefisyemektarifleri.com/tavuklu-sebzeli-makarna-9149062/,Tavuk,Tek Öğün,392,59.6,15.5,10.4,3.93,1.07,372.9,409.15,39.39,267.8,45.04,1.01,67.45,1 paket spagetti (ya da sevdiğiniz bir makarna),Su,1 tatlı kaşığı tuz,600 gram tavuk göğsü,2 yemek kaşığı sıvı yağ,2 adet kırmızı kapya biber,3 adet yeşil biber,1 adet büyük boy kuru soğan,2 diş sarımsak,1 yemek kaşığı biber salçası,1 yemek kaşığı domates salçası,Yarım çay bardağı sıvı yağ,1 çay kaşığı pul biber,Yarımşar çay kaşığı karabiber,Yarım çay kaşığı kırmızı toz biber,Bir tutam Maydanoz,1 tatlı kaşığı tuz,,,,,,,,,,,,,
Köri Soslu Makarna,https://www.nefisyemektarifleri.com/kori-soslu-makarna/,Tahıl,Yan Yemek,366,54.42,9.3,13.2,1.25,0,73,66.28,7.5,0.34,0.01,0.27,3.87,1 paket makarna,1 paket krema (200 ml),1 yemek kaşığı köri,1 yemek kaşığı un,1 su bardağı makarna suyu,Tuz,2 yemek kaşığı sıvı yağ,,,,,,,,,,,,,,,,,,,,,,,
Fettucini Alfredo,https://www.nefisyemektarifleri.com/fettucini-alfredo-6316998/,Tavuk,Tek Öğün,801,78,31,44,0.86,27,126.6,413.6,118,201.2,2.6,0.6,67.2,1 adet jülyen doğranmış tavuk göğsü,400 gram (bir paket) mantar,2 yemek kaşığı sıvı yağ,2 dolu yemek kaşığı tereyağı,1 paket fettucini makarna (penne makarna da olur),2 kutu krema,5-6 diş ezilmiş sarımsak,Tuz. karabiber. fesleğen,Kaşar peyniri veya parmesan rendesi,,,,,,,,,,,,,,,,,,,,,
Naneli Salçalı Makarna,https://www.nefisyemektarifleri.com/sipsak-naneli-salcali-makarna/,Tahıl,Yan Yemek,411,66.6,10.7,10.9,1.3,0,261.09,370.2,26.25,430.75,6.7,1.48,8.6,Yarım paket burgu makarna,2 yemek kaşığı zeytinyağı,1 yemek kaşığı domates salçası,1 yemek kaşığı biber salçası,1 yemek kaşığı kuru nane,1 çay kaşığı tuz,Yarım çay kaşığı karabiber,1 çay kaşığı tuz (haşlama suyuna),Sıcak su,,,,,,,,,,,,,,,,,,,,,
Salçalı Spagetti,https://www.nefisyemektarifleri.com/salcali-spagetti-tarifi/,Tahıl,Yan Yemek,433,71.1,11,12,3.85,0,388.7,547.6,158.5,207.1,10,1.5,3.1,Yarım paket spagetti,1 yemek kaşığı biber salçası,2 yemek kaşığı domates salçası,1 tatlı kaşığı kuru nane,Sıvı yağ,Tuz,,,,,,,,,,,,,,,,,,,,,,,,
Köri Soslu Tavuklu Makarna,https://www.nefisyemektarifleri.com/kori-soslu-tavuklu-makarna/,Tavuk,Tek Öğün,787,69,45,40,3.76,149.56,395.2,300.26,346.6,424.36,1.08,1.85,4.71,Yarım paket penne makarna,1 kutu krema,2 parça kemiksiz but (tavuk),9-10 adet mantar,1 tatlı kaşığı köri,1 yemek kaşığı tereyağı,Kaşar peyniri,,,,,,,,,,,,,,,,,,,,,,,
Erişte Makarna,https://www.nefisyemektarifleri.com/tam-olculu-eriste-makarna-tarifi/,Tahıl,Yan Yemek,544,85.4,16.8,14.5,3.8,111.4,25.8,43.2,43.2,105.8,0,2.28,15.84,2 yemek kaşığı sıvı yağ,2 yemek kaşığı tereyağı,3 su bardağı erişte,4.5 su bardağı sıcak su,1 tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,,,,,
Bolonez Soslu Spagetti,https://www.nefisyemektarifleri.com/bolonez-bolognese-soslu-spagetti/,Kırmızı Et,Tek Öğün,573,85.9,23.4,15.5,5.14,34.8,348.93,732.35,197.76,3465.43,12.69,2.01,69.18,1 paket spagetti,Sıcak suSosu için;,250 – 300 g kıyma,Yarım çay bardağı sıvı yağ,2 diş sarımsak,2 adet soğan,3 orta boy domates,2 adet havuç,1 yemek kaşığı salça,Tuz. kimyon. karabiber. kekik,,,,,,,,,,,,,,,,,,,,
Domatesli Makarna Yapımı,https://www.nefisyemektarifleri.com/domatesli-makarna-yapimi/,Tahıl,Yan Yemek,251,41.8,6.2,6.9,2.4,0,195.6,337.6,23.8,573.2,5.7,0.46,20.87,yarım kutu makarna (250 g) istenen çeşit,yarım çay bardağı zeytin yağı,2 diş sarımsak (isteğe göre azaltılabilir),1 yemek kaşığı biber salçası,2-3 adet domates rendesi,yarım çay kaşığı tuz (kendinize göre ayarlayabilirsiniz.),yarım çak kaşığı kırmızı toz biber ve karabiber,servis esnasında üzerine tercihe bağlı kıyılmış maydanoz,,,,,,,,,,,,,,,,,,,,,,
Ev Yapımı Makarna,https://www.nefisyemektarifleri.com/ev-yapimi-makarna-elde-kesim/,Tahıl,Yan Yemek,616,120.7,10.5,9,2.6,279,453.2,393.2,74.7,323,5.5,1.5,29.52,3 adet yumurta,2.5 su bardağı un,1 çay kaşığı tuz,Sıcak su,1 çay kaşığı tuz,1 çay bardağı domates sosu,,,,,,,,,,,,,,,,,,,,,,,,
Tavuk Dünyası Makarna,https://www.nefisyemektarifleri.com/tavuk-dunyasi-makarna-tarifi/,Tahıl,Yan Yemek,425,3.3,9.5,20.5,2.5,0,158.5,151.01,124.45,16.53,0.26,0.39,38.07,1 paket kalem makarna,Tuz,2 paket krema,1 çay kaşığı toz köri,2 çay kaşığı köri sosu,2 çay kaşığı kuru fesleğen,1 tavuk bulyon,,,,,,,,,,,,,,,,,,,,,,,
Kremalı Mantarlı Makarna,https://www.nefisyemektarifleri.com/kremali-mantarli-makarna-nefis/,Tahıl,Tek Öğün,612,59.3,15.1,35.6,3.25,4.3,150.7,330.6,185.2,97.71,1.64,0.42,42.98,1/2 (yarım) paket haşlanmış makarna (penne kullandım),2 yemek kaşığı sıvı yağ,1/2 (yarım) yemek kaşığı tereyağ,200 gr mantar,1 paket krema,1 diş sarımsak,1 kibrit kutusu rendelenmiş kaşar,1 silme tatlı kaşığı kuru fesleğen ( kullanmaya bilirsiniz),1 silme çay kaşığı karabiber,,,,,,,,,,,,,,,,,,,,,
Mercimek Köftesi,https://www.nefisyemektarifleri.com/video/mercimek-koftesi-nasil-yapilir/,Bakliyat,Ana Yemek,69,9,1.6,3,1.3,0.84,23.13,68.43,65.34,38.03,30.03,0.84,7,1 su bardağı kırmızı mercimek,1.5 su bardağı ince köftelik bulgur,1 baş kuru soğan,1 demet maydanoz,5 yemek kaşığı sıvı yağ,1 demet taze soğan,2 yemek kaşığı salça (biber ve domates salçası karışık kullanabilirsiniz),3 su bardağı su (gerekirse yoğurma aşamasında biraz daha eklenebilir),Yeteri kadar tuz,Kimyon,Pul biber,Karabiber,,,,,,,,,,,,,,,,,,
Fellah Köftesi,https://www.nefisyemektarifleri.com/fellah-koftesi-tarifi-524700/,Tahıl,Ana Yemek,365,69.7,7.4,6.9,6.86,26.64,200.79,487.81,108.37,765.46,16.72,3.2,32.42,2 su bardağı ince bulgur,2 su bardağı sıcak su,1 yumurta,2 su bardağı un,1 yemek kaşığı salça,1 tatlı kaşığı kimyon,Karabiber,Tuz,3 yemek kaşığı sıvı yağ,5 adet domates rendesi (yazdan hazırladığımız konserve domates rendesi de olabilir),1 yemek kaşığı biber salçası,3 diş sarımsak,Maydanoz,Tuz,,,,,,,,,,,,,,,,
İçli Köfte,https://www.nefisyemektarifleri.com/icli-kofte-tarifi-emine-ayse/,Kırmızı Et,Ana Yemek,239,21.2,5.7,14.8,2,9.6,42.34,171,14.05,56.1,2.6,1.13,20.97,1.5 su bardağı ince köftelik bulgur,1 çay bardağı irmik,1 tatlı kaşığı toz kırmızı biber,1 tatlı kaşığı biber salçası,1 su bardağından biraz az un,1 çay kaşığı tuz,1 su bardağı soğuk su,2 yemek kaşığı sıvı yağ,300 gr kıyma,3 orta boy soğan,Yarım tatlı kaşığı salça,Yarım demek maydanoz,1 küçük çay bardağı küçük parçalı ceviz (isteğe bağlı),Tuz,Pul biber,Karabiber (baharatlar ve tuz isteğe göre ayarlanabilir.),Sıvı yağ,,,,,,,,,,,,,
Etli Kuru Fasulye,https://www.nefisyemektarifleri.com/etli-kuru-fasulye/,Kırmızı Et,Ana Yemek,423,19.34,22.46,24.54,16.46,40.2,192.18,431.2,469.42,318.14,7.01,4.2,57.64,1.5 su bardağı kuru fasulye,1 adet kuru soğan,1 yemek kaşığı domates salçası,1 yemek kaşığı biber salçası,300 g kuşbaşı dana eti,4-5 yemek kaşığı sıvı yağ,1 tatlı kaşığı tuz,1 tatlı kaşığı pul biber,1 litre sıcak su,,,,,,,,,,,,,,,,,,,,,
Etli Nohut,https://www.nefisyemektarifleri.com/etli-nohut-tarifi/,Kırmızı Et,Ana Yemek,382,11.6,21.6,27.4,3,67,160.6,267,309.8,189.8,1.97,1.1,112.63,Yarım kilo kuşbaşı doğranmış et,1.5 su bardağı haşlanmış nohut,1 adet kuru soğan,3 yemek kaşığı sıvı yağ,2 yemek kaşığı salça,Tuz,Pul biber,,,,,,,,,,,,,,,,,,,,,,,
Etsiz Kuru Fasulye,https://www.nefisyemektarifleri.com/etsiz-kuru-fasulye-tarifi/,Bakliyat,Ana Yemek,207,20,11,8,15.49,0,98.18,366.26,255.85,224.46,13.86,2.6,5.38,2 su bardağı kuru fasulye,1 adet kuru soğan,1 adet kırmızı süs biberi,1 yemek kaşığı domates salçası,1 yemek kaşığı biber salçası,4 yemek kaşığı sıvı yağ,1 çay kaşığı karabiber,1 çay kaşığı kırmızı toz biber,1 çay kaşığı kimyon,1 tatlı kaşığı tuz,3.5 su bardağı sıcak su,,,,,,,,,,,,,,,,,,,
Mercimek Köftesi,https://www.nefisyemektarifleri.com/tam-kivaminda-sik-sunumuyla-mercimek-koftesi/,Bakliyat,Ana Yemek,145,20.1,5.2,4.6,4.2,0,61.19,170.8,131.64,101.1,4.69,1.9,8.51,1 su bardağı kırmızı mercimek,3 su bardağı su (gerekirse yoğurma aşamasında biraz daha eklenebilir),4-5 adet taze soğan,Çeyrek demet maydanoz,1.5 su bardağı köftelik bulgur,5 yemek kaşığı sıvı yağ,1 adet kuru soğan,1.5 yemek kaşığı domates salçası,1.5 yemek kaşığı biber salçası,1.5 tatlı kaşığı tuz,1 çay kaşığı kimyon,1 çay kaşığı pul biber,1 çay kaşığı karabiber,,,,,,,,,,,,,,,,,
Nohut Yemeği,https://www.nefisyemektarifleri.com/video/nohut-yemegi-tarifi-videolu/,Kırmızı Et,Ana Yemek,430,35,21,22.2,4.07,37.6,104.7,668.2,196.09,163.9,38.6,5.04,77.02,250g kuşbaşı et,3-4 yemek kaşığı sıvı yağ,1 adet soğan,2 adet yeşil biber,1 adet kırmızı biber,1 yemek kaşığı domates salçası,1 yemek kaşığı biber salçası,2 su bardağı nohut,1 çay kaşığı kırmızı toz biber,Yarım çay kaşığı karabiber,Tuz,,,,,,,,,,,,,,,,,,,
